x,y,Porosity,Surface,Permeability,Energy,Euler_Characteristic
240,720,0.0068218749999995,14.999999999999002,0.0002111732560928,0.0002030081564035,24.0
320,0,0.0064843749999999,15.7375,0.0001296781218212,0.0001250325682153,23.0
320,80,0.006242187499999901,18.0375,4.1388034088155e-05,3.89003277243e-05,25.0
320,160,0.0061374999999999,17.2875,7.7184001456644e-05,7.0081103378482e-05,22.0
320,240,0.0066828125,16.0375,0.000115426949247,0.0001083446032147,35.0
320,320,0.0066328124999996,17.0375,2.1780825071589e-05,1.7674452759113e-05,35.0
320,400,0.006639062499999599,17.6375,7.9658314297168e-05,7.5674956612812e-05,28.0
320,480,0.0064906249999998,16.174999999999002,0.0001522706996575,0.0001450038233298,25.0
320,560,0.0065953124999996995,16.7375,5.9858861393585e-05,5.5584805499008994e-05,26.0
320,640,0.0058218750000004005,17.625,2.925418285983e-05,2.5905493643212e-05,24.0
320,720,0.006107812500000099,16.8875,2.71616047697e-05,2.0085899249507e-05,24.0
400,0,0.0063187499999999,16.625,0.0001065230010564,0.0001005974918144,25.0
400,80,0.0063890624999999,16.6625,7.0890083646956e-05,6.5649750818326e-05,24.0
400,160,0.00690625,15.75,0.0002373110754129,0.0002271213267933,29.0
400,240,0.0063671874999999,16.5625,0.0001168361463203,0.0001104561106985,25.0
400,320,0.0065859374999997,15.612499999999,0.0001897413247867,0.0001830764026194,26.0
400,400,0.0066890624999996,15.912499999999,0.0001394817490142,0.0001341562470647,26.0
400,480,0.0061937500000000005,16.387499999999,3.0965947495353e-05,2.7549999616282e-05,25.0
400,560,0.007353124999999,15.362499999999,0.0002096072635423,0.0001994061219126,38.0
400,640,0.006324999999999901,15.912499999999,0.0001350290093948,0.0001296506650021,20.0
400,720,0.006417187499999799,17.2375,9.5272508318988e-05,8.525781874391701e-05,29.0
480,0,0.0060499999999999,15.7,2.8271098623275e-05,2.5768738686612e-05,17.0
480,80,0.006637499999999999,16.275,0.0001191819290626,0.0001125177467436,28.0
480,160,0.0060281249999999,17.05,3.2640167230266e-05,2.9799082605946003e-05,18.0
480,240,0.0065515624999999,16.7,0.0001534650569949,0.0001470587111927,30.0
480,320,0.0060343750000002,17.175,4.5645056241525e-05,4.0641984335118e-05,24.0
480,400,0.0066484374999996,15.299999999999,0.0001850938557578,0.0001789812989427,26.0
480,480,0.0066859374999996,16.624999999999,0.000146953977927,0.0001399027961619,33.0
480,560,0.006381249999999901,16.8875,5.2143329715711e-05,4.9518437921495e-05,25.0
480,640,0.0067109374999996,16.6875,0.0001423349527128,0.0001335385497755,30.0
480,720,0.0063765624999999005,17.1875,9.9845905727074e-05,9.3959430458295e-05,21.0
560,0,0.0063156249999999,17.2625,4.7148612705844006e-08,1.5901718062745e-11,24.0
560,80,0.0068296875,15.3125,0.0001226864644577,0.0001166498543633,26.0
560,160,0.0064093749999999,16.6875,9.7536483144769e-05,9.1369344197813e-05,30.0
560,240,0.0062046874999999,16.8,9.0663552140061e-05,8.4202652460715e-05,29.0
560,320,0.006029687499999901,16.775,7.334034347584699e-05,6.7667600311455e-05,22.0
560,400,0.006882812499999999,15.6,0.0001654800093353,0.0001593753200068,37.0
560,480,0.0057312499999999,17.2875,5.6440696680385e-08,1.9780075374298e-10,19.0
560,560,0.0065859375,16.45,9.176121894135e-05,8.629491441774699e-05,31.0
560,640,0.0062578124999999,16.9125,6.0188174284938e-05,5.3481136603218e-05,22.0
560,720,0.0061968749999999,16.275,7.328908889511601e-05,6.8249537766159e-05,27.0
640,0,0.0069296875,15.3875,0.0001931275155516,0.0001856149462105,30.0
640,80,0.0065812499999999,16.725,4.8816806737426e-05,4.2496376782637e-05,27.0
640,160,0.006554687499999901,17.55,8.578776200825501e-05,8.041791442838299e-05,29.0
640,240,0.007153125,14.95,0.0002551627861406,0.0002442946844529,36.0
640,320,0.006457812499999899,17.975,1.0385305102436e-05,5.7715531930064e-06,31.0
640,400,0.006593750000000001,16.2125,0.000109764665287,0.0001044585692411,34.0
640,480,0.0062609374999999,17.0625,4.3722578185397e-05,4.0233248851307e-05,28.0
640,560,0.0069359375,16.05,0.0001957648592721,0.000186773460809,31.0
640,640,0.006457812499999899,16.0125,0.0001057194323475,0.0001009127069502,31.0
640,720,0.006796875,16.8875,0.0001622768244959,0.0001567306926282,27.0
720,0,0.006382812499999901,16.75,7.4565522109313e-05,7.0917370716037e-05,27.0
720,80,0.0064453124999999,16.4875,7.332731642793e-05,6.890426947475301e-05,31.0
720,160,0.005824999999999901,17.8875,1.3005467809691e-05,1.0258665979363e-05,21.0
720,240,0.00668125,15.85,0.0001247989003652,0.0001175866967518,28.0
720,320,0.0067265625,17.05,5.69204138927e-05,5.063805739994e-05,32.0
720,400,0.0064515624999999,17.7375,8.1030895509475e-05,7.4621081229288e-05,34.0
720,480,0.006646875,16.0125,9.1363730544948e-05,8.2394826763759e-05,28.0
720,560,0.0065437499999999,16.975,4.5286982323615e-05,3.6917009996451e-05,34.0
720,640,0.006415624999999901,16.5875,0.0001340042991261,0.0001284539437729,23.0
720,720,0.006553124999999899,16.7875,0.0001497622267741,0.000142721856854,41.0
