Resolution,Subsamples,Blobiness,M0,M1,M2
500,100,2,0.6612,250.84671708797583,4
500,100,2,0.5376,264.05992052357226,2
500,100,2,0.6652,261.12489168102786,4
500,100,2,0.758,220.60407640085657,4
500,100,2,0.292,190.7106781186548,2
600,4,2,0.6479666666666667,4908.953857212022,29
600,4,2,0.5042666666666666,4765.7690450074215,14
600,4,2,0.5672333333333334,4878.864499436926,15
600,4,2,0.4892666666666667,5191.712262545429,9
600,9,2,0.653025,2521.5119395016804,15
600,9,2,0.537675,2132.6053018901325,5
600,9,2,0.589925,2150.5992052357224,14
600,9,2,0.627275,2287.203281636579,12
600,9,2,0.51405,2227.97283425828,6
600,9,2,0.416025,2463.819551346255,0
600,9,2,0.58385,2460.1149698820104,8
600,9,2,0.56345,2237.504796826744,9
600,9,2,0.484375,2512.612444565069,10
600,16,2,0.5628444444444445,1566.526045382804,8
600,16,2,0.6568888888888889,1315.1107857999043,10
600,16,2,0.5187111111111111,1337.7615433949868,5
600,16,2,0.6472,1286.4833688019348,10
600,16,2,0.6916,1439.9341622907673,13
600,16,2,0.6805333333333333,1282.8914857098982,11
600,16,2,0.4129333333333333,1405.0996385116114,4
600,16,2,0.4382222222222222,1329.0752518939717,4
600,16,2,0.6910666666666667,1180.193000900063,10
600,16,2,0.4688444444444444,1342.2295808265224,7
600,16,2,0.5199111111111111,1479.8925317304245,4
600,16,2,0.4976,1480.390006413483,2
600,16,2,0.5162222222222222,1607.1828996322963,6
600,16,2,0.5928,1394.903679018718,5
600,16,2,0.4864,1285.6316010800756,3
600,16,2,0.4531555555555555,1415.8275605729689,11
600,25,2,0.5208333333333334,1143.973700810057,4
600,25,2,0.6504166666666666,909.848809129029,5
600,25,2,0.5492361111111111,859.1564209736038,4
600,25,2,0.5436111111111112,943.848809129029,4
600,25,2,0.7367361111111111,919.1625176280136,10
600,25,2,0.6873611111111111,1081.77269068328,10
600,25,2,0.7614583333333333,998.0325753131024,9
600,25,2,0.4725,876.7899346259832,0
600,25,2,0.4701388888888889,823.5472939388638,5
600,25,2,0.4404861111111111,764.7361107568208,4
600,25,2,0.6097916666666666,1073.458982184295,6
600,25,2,0.4591666666666666,899.848809129029,0
600,25,2,0.5706944444444444,971.500612744638,8
600,25,2,0.5147222222222222,876.0325753131025,2
600,25,2,0.4586111111111111,971.216341497176,3
600,25,2,0.7075,837.4518395093589,6
600,25,2,0.5095138888888889,788.8843430349616,3
600,25,2,0.4967361111111111,876.2985565973348,6
600,25,2,0.5625,943.5889244992064,3
600,25,2,0.4499305555555555,893.3462838120872,2
600,25,2,0.4811111111111111,1085.4650788387053,3
600,25,2,0.6984027777777778,908.1269837220808,9
600,25,2,0.603125,948.0742058734452,5
600,25,2,0.3213888888888889,746.1503243191939,-1
