Seed,Blobiness,M0,M1,M2
5,6,0.399124,40346.533849631865,-355
5,6,0.497372,43241.787129993,51
5,6,0.597908,43491.50199219376,508
5,6,0.69842,40775.96479952266,861
5,6,0.798428,34659.11231392581,1078
5,6,0.899812,23482.86214083428,1049
5,6,0.999996,1996.8284271247464,1
5,7,0.101144,17714.56929116189,-1269
5,7,0.202616,30665.106873562458,-1291
5,7,0.301644,39894.31419060436,-943
5,7,0.398904,46062.11616986238,-496
5,7,0.497992,49766.93712616667,98
5,7,0.598652,50571.52832217568,703
5,7,0.698752,47536.11897977843,1201
5,7,0.799356,40150.12940919174,1507
5,7,0.89988,27184.907447862453,1404
5,7,0.999996,1996.8284271247464,1
5,8,0.1009,18826.06676584495,-1657
5,8,0.202476,33468.45019878171,-1692
5,8,0.301124,43916.69827983218,-1275
5,8,0.399632,51555.73698259167,-606
5,8,0.499212,56046.368255526206,143
5,8,0.598032,57226.11796454988,932
5,8,0.699384,54094.02651473372,1618
5,8,0.799016,45733.48459957427,1980
5,8,0.899692,31074.876636444875,1880
5,8,0.999996,1996.8284271247464,1
5,9,0.100664,19648.72257407392,-2107
5,9,0.20212,35673.88374832784,-2095
5,9,0.302244,47739.853834254005,-1575
5,9,0.400124,56488.37799785648,-772
5,9,0.499132,61595.802343478594,156
5,9,0.598268,63319.80497392589,1185
5,9,0.69834,60426.54108468271,2056
5,9,0.798172,51437.41947974004,2523
5,9,0.898692,35063.16772222174,2342
5,9,0.999996,1996.8284271247464,1
5,10,0.101236,20356.27178058508,-2543
5,10,0.202508,37708.476677440405,-2597
5,10,0.302344,50901.02454057749,-1945
5,10,0.401108,60735.85840806558,-937
5,10,0.49984,66881.9195848704,269
5,10,0.598476,68892.04919903979,1498
5,10,0.69774,66174.21189613655,2538
5,10,0.79776,56857.436575005966,3125
5,10,0.89822,38860.74098720502,2896
5,10,0.999996,1996.8284271247464,1
6,1,0.0871,3181.52727087208,-26
6,1,0.198676,5679.673770046666,-24
6,1,0.307024,7326.857715699489,-15
6,1,0.416352,8282.471026816334,0
6,1,0.520028,8405.642599691588,12
6,1,0.623396,8205.451690832579,23
6,1,0.720216,7363.612982971317,29
6,1,0.809068,6269.116374840036,30
6,1,0.901728,4400.965871052093,29
6,1,0.999996,1996.8284271247464,1
6,2,0.094976,6216.302233065162,-111
6,2,0.195192,10382.538269483592,-113
6,2,0.297116,13219.325424985496,-78
6,2,0.403628,14990.233288086318,-21
6,2,0.506516,15585.70846819279,28
6,2,0.60928,15009.214998123089,80
6,2,0.70576,13601.403635472298,103
6,2,0.801696,11723.590180780451,126
6,2,0.899984,8213.213054758817,124
6,2,0.999996,1996.8284271247464,1
6,3,0.098692,9060.479215511798,-228
6,3,0.198008,14833.899197583052,-237
