Resolution,Subsamples,Blobiness,M0,M1,M2
500,100,2,0.6328,332.072113832392,3
500,100,2,0.3224,229.68124086713183,2
500,100,2,0.4216,253.27312395916863,3
500,100,2,0.66,349.45079348883235,5
500,100,2,0.4644,325.5868324581534,4
500,100,2,0.3116,226.5391052434009,3
500,100,2,0.4728,254.58073580374355,3
500,100,2,0.6324,362.0660171779821,4
500,100,2,0.514,264.10155108391484,4
500,100,2,0.4468,282.10155108391484,1
500,100,2,0.5296,348.1370849898476,4
500,100,2,0.4204,274.095454429505,3
500,100,2,0.574,276.8528137423857,3
500,100,2,0.5244,292.51576464628795,2
500,100,2,0.6312,282.64570696119915,3
500,100,2,0.7456,284.23149339882605,7
500,100,2,0.3736,294.373629022557,2
600,4,2,0.6167888888888889,7096.0231919203325,60
600,4,2,0.5216888888888889,7000.636323568429,18
600,4,2,0.5634333333333333,7355.934880165764,28
600,4,2,0.5091777777777777,7219.052629171856,22
600,9,2,0.618625,3432.421715174808,34
600,9,2,0.550375,3142.5678554118954,17
600,9,2,0.589025,3227.645019878172,22
600,9,2,0.5978,3331.160784524459,19
600,9,2,0.52735,3113.5567081236027,15
600,9,2,0.454725,3403.823735428361,2
600,9,2,0.58065,3459.4034252115785,15
600,9,2,0.55195,3355.8115421195416,18
600,9,2,0.50445,3387.196318430392,15
600,16,2,0.5583555555555556,1971.143361113007,15
600,16,2,0.628,1888.344371239784,24
600,16,2,0.5308444444444445,1862.278354061801,1
600,16,2,0.6333333333333333,1857.5687219636727,17
600,16,2,0.6357777777777778,2008.990078200983,20
600,16,2,0.6450222222222223,1799.982935526046,21
600,16,2,0.4509333333333333,1906.681420335881,5
600,16,2,0.4716444444444444,1979.1372644585967,5
600,16,2,0.6534222222222222,1781.740294838927,17
600,16,2,0.4760888888888889,1841.2499628308049,7
600,16,2,0.5308,1940.17889501894,8
600,16,2,0.5230222222222223,2064.6824663564075,12
600,16,2,0.5413333333333333,2182.5464273870866,9
600,16,2,0.5828888888888889,2102.386001800126,12
600,16,2,0.4972888888888889,1799.8641404994282,7
600,16,2,0.4856,1929.55757467538,12
600,25,2,0.5279166666666667,1421.5138520739845,11
600,25,2,0.6329166666666667,1312.2295808265224,14
600,25,2,0.5411111111111111,1219.2823586751583,7
600,25,2,0.5699305555555556,1259.7909806465098,4
600,25,2,0.6879861111111111,1278.726009489054,16
600,25,2,0.6325694444444444,1358.2590180780453,12
600,25,2,0.6932638888888889,1311.7026688919411,16
600,25,2,0.4878472222222222,1146.447834896002,5
600,25,2,0.4770833333333333,1153.9625535217635,3
600,25,2,0.4981944444444444,1245.6965722375314,4
600,25,2,0.595625,1383.5849198858496,9
600,25,2,0.5058333333333334,1277.8803384216046,5
600,25,2,0.5479166666666667,1252.2234841721124,8
600,25,2,0.5304166666666666,1208.0519112968586,9
600,25,2,0.4977083333333333,1323.7503961066936,11
600,25,2,0.6728472222222223,1328.430590953299,10
600,25,2,0.509375,1131.8914857098982,4
600,25,2,0.5098611111111111,1278.265114732455,8
600,25,2,0.5336111111111111,1216.3889603929565,4
600,25,2,0.4872916666666667,1242.9514062334704,7
600,25,2,0.50875,1465.1412690719535,5
600,25,2,0.6586805555555556,1322.359523141433,14
600,25,2,0.5800694444444444,1294.259018078045,9
600,25,2,0.3876388888888888,1107.2701653663385,-1
600,25,2,0.5448611111111111,1339.6915216036475,11
600,36,2,0.498,1026.3584771209069,6
600,36,2,0.7209,891.4234482783627,14
600,36,2,0.5865,906.3462838120872,12
600,36,2,0.4976,883.8782463805518,-1
600,36,2,0.5238,977.6894295625948,6
600,36,2,0.7316,880.6061684419097,12
600,36,2,0.6558,1024.251875403109,12
600,36,2,0.5998,873.3462838120872,12
600,36,2,0.5993,885.6183617507294,10
600,36,2,0.5181,860.4762261269984,7
600,36,2,0.5737,879.7188668141176,7
600,36,2,0.527,987.7249634685276,7
600,36,2,0.5332,956.77269068328,5
600,36,2,0.6688,947.659992311072,9
600,36,2,0.6888,803.9137802864844,10
600,36,2,0.4596,871.1391770309007,5
600,36,2,0.4403,864.0803025278549,2
600,36,2,0.4235,913.5056633785211,1
600,36,2,0.7369,917.210244842766,13
600,36,2,0.4523,827.1686142824236,3
600,36,2,0.4,886.1747109368334,3
600,36,2,0.561,957.216341497176,9
600,36,2,0.4783,972.8021279348028,4
600,36,2,0.4768,1018.1574669941302,5
600,36,2,0.5906,960.6894295625948,6
600,36,2,0.69,948.3462838120872,9
600,36,2,0.4919,999.2285348059958,6
600,36,2,0.5707,808.9909447527598,7
600,36,2,0.5483,888.8843430349616,6
600,36,2,0.5008,932.5239533417508,7
600,36,2,0.461,1051.8437584951455,2
600,36,2,0.581,955.4467888754756,8
600,36,2,0.6672,1020.2874093090415,9
600,36,2,0.478,887.4701294725887,4
600,36,2,0.4445,978.1158364337876,4
600,36,2,0.5242,929.4589821842952,9
600,64,2,0.4353777777777777,586.9898987322333,5
600,64,2,0.6129777777777777,562.4751801064718,6
600,64,2,0.664,562.9310242291876,9
600,64,2,0.5635555555555556,559.9188309203678,7
600,64,2,0.4314666666666666,539.8711037056153,-1
600,64,2,0.4848,531.4335495461293,2
600,64,2,0.6067555555555556,586.5401512639273,6
600,64,2,0.808,466.5929291125633,8
600,64,2,0.5925333333333334,556.6467529817257,7
600,64,2,0.5925333333333334,490.5756851698602,7
600,64,2,0.5975111111111111,572.2975105768082,8
600,64,2,0.6869333333333333,514.8122292025697,7
600,64,2,0.5470222222222222,498.43354954612926,3
600,64,2,0.6600888888888888,573.7411613907042,4
600,64,2,0.6412444444444444,596.5756851698602,7
600,64,2,0.4773333333333333,573.6467529817257,5
600,64,2,0.7104,566.8477631085024,7
600,64,2,0.6279111111111111,598.173664916307,6
600,64,2,0.7086222222222223,579.5401512639274,9
600,64,2,0.6842666666666667,515.3624817342638,9
600,64,2,0.3617777777777777,513.605122421383,3
600,64,2,0.4782222222222222,535.2619766708755,2
600,64,2,0.5290666666666667,586.303607231218,4
600,64,2,0.4423111111111111,579.4751801064718,2
600,64,2,0.5127111111111111,619.6589462905455,5
600,64,2,0.6920888888888889,556.8538597629122,9
600,64,2,0.5420444444444444,567.2325394193525,4
600,64,2,0.6451555555555556,524.6700935788386,5
600,64,2,0.4848,521.8477631085024,4
600,64,2,0.4789333333333333,568.7533546995239,3
600,64,2,0.3937777777777778,497.5401512639275,2
600,64,2,0.5214222222222222,563.4335495461294,5
600,64,2,0.6931555555555555,594.4041122946064,7
600,64,2,0.5457777777777778,548.0254326381661,5
600,64,2,0.3329777777777777,442.0965004500315,1
600,64,2,0.4124444444444444,588.4396462005392,2
600,64,2,0.5879111111111112,592.7888886054567,6
600,64,2,0.4682666666666666,564.747258045114,2
