Resolution,Subsamples,Porosity,Blobiness,M0,M1,M2
600,16,0.75,7,0.7420888888888889,3572.4704884100875,97
600,16,0.75,7,0.7424888888888889,3810.500971682137,99
600,16,0.75,7,0.7653777777777778,3610.1984104714447,95
600,16,0.75,7,0.7252,3741.021786962308,92
600,16,0.75,7,0.7300888888888889,3759.4837277394336,92
600,25,0.75,7,0.7523611111111111,2489.950539681693,61
600,25,0.75,7,0.7753472222222222,2369.8378413094847,76
600,25,0.75,7,0.7306944444444444,2363.772870152029,62
600,25,0.75,7,0.7660416666666666,2159.150503787944,57
600,25,0.75,7,0.7961111111111111,2111.4997461928606,69
600,25,0.75,7,0.7708333333333334,2304.109919248127,68
600,25,0.75,7,0.7938194444444444,2238.103822593717,69
600,25,0.75,7,0.7400694444444444,2445.187083714403,66
600,25,0.75,7,0.7127777777777777,2485.713995648984,55
600,25,0.75,7,0.7444444444444445,2460.696751706281,63
600,25,0.75,7,0.7470833333333333,2350.7667734976194,60
600,25,0.75,7,0.7395138888888889,2391.713995648984,63
600,25,0.75,7,0.75,2320.7667734976194,73
600,25,0.75,7,0.7395138888888889,2311.9322497184635,57
600,25,0.75,7,0.7242361111111111,2405.1637431172894,57
600,25,0.75,7,0.7940972222222222,2340.2104243115155,63
600,25,0.75,7,0.7207638888888889,2444.465258307454,57
600,25,0.75,7,0.7497222222222222,2337.394190495589,62
600,25,0.75,7,0.74125,2427.7556262093267,56
600,25,0.75,7,0.7253472222222223,2296.938346372873,58
600,25,0.75,7,0.7302083333333333,2517.7200923033934,64
600,25,0.75,7,0.795625,2249.317026029314,71
600,25,0.75,7,0.7397916666666666,2370.228714274745,61
600,25,0.75,7,0.7008333333333333,2519.460207673571,56
600,25,0.75,7,0.7481944444444445,2385.282538143907,68
600,36,0.75,7,0.7541,1770.953498274523,49
600,36,0.75,7,0.8118,1583.6864709697643,59
600,36,0.75,7,0.7357,1644.6336931211283,47
600,36,0.75,7,0.7514,1629.0001794687491,42
600,36,0.75,7,0.7456,1632.047906683502,45
600,36,0.75,7,0.8119,1505.9940828143394,51
600,36,0.75,7,0.7773,1654.734198184517,48
600,36,0.75,7,0.7512,1608.4204896855322,41
600,36,0.75,7,0.7648,1727.125071149777,53
600,36,0.75,7,0.734,1780.0245660863889,41
600,36,0.75,7,0.7419,1640.3849557795995,38
600,36,0.75,7,0.7425,1725.5331880577403,41
600,36,0.75,7,0.7323,1755.8824304626578,39
600,36,0.75,7,0.8001,1617.9413049657037,44
600,36,0.75,7,0.8045,1532.2367235014588,52
600,36,0.75,7,0.7208,1723.876333808248,46
600,36,0.75,7,0.696,1832.829652614022,43
600,36,0.75,7,0.7198,1833.628642487245,43
600,36,0.75,7,0.7982,1542.5504320004434,48
600,36,0.75,7,0.6858,1671.290547370621,35
600,36,0.75,7,0.7224,1883.4865068635145,52
600,36,0.75,7,0.7457,1656.4976541518076,34
600,36,0.75,7,0.7306,1745.1900423072327,41
600,36,0.75,7,0.7219,1687.8052659963826,38
600,36,0.75,7,0.7527,1719.681420335881,43
600,36,0.75,7,0.7798,1604.6631303726515,49
600,36,0.75,7,0.7587,1681.8235559596123,52
600,36,0.75,7,0.7658,1657.1545084012998,49
600,36,0.75,7,0.748,1767.965691583343,45
600,36,0.75,7,0.7211,1702.876333808248,34
600,36,0.75,7,0.721,1817.723050896224,46
600,36,0.75,7,0.7635,1708.8174593052024,46
600,36,0.75,7,0.7767,1641.9474016201134,45
600,36,0.75,7,0.704,1797.995128834866,40
600,36,0.75,7,0.7266,1790.6286424872455,44
600,36,0.75,7,0.7511,1703.3088373338508,48
600,64,0.75,7,0.7466666666666667,1065.199097554473,30
600,64,0.75,7,0.7715555555555556,1006.0863991822648,32
600,64,0.75,7,0.7777777777777778,948.6721856198916,32
600,64,0.75,7,0.7109333333333333,981.885389055488,27
600,64,0.75,7,0.7157333333333333,1020.2935059634516,24
600,64,0.75,7,0.7342222222222222,1004.056961930742,26
600,64,0.75,7,0.7719111111111111,888.5655839020935,28
600,64,0.75,7,0.8382222222222222,834.2457787486989,33
600,64,0.75,7,0.7550222222222223,991.441738241592,29
600,64,0.75,7,0.7548444444444444,911.5300499961608,21
600,64,0.75,7,0.7728,975.5300499961608,26
600,64,0.75,7,0.7877333333333333,980.6011178080262,29
600,64,0.75,7,0.7592888888888889,1052.7199128346442,27
600,64,0.75,7,0.8040888888888889,939.9737008100568,30
600,64,0.75,7,0.7664,914.4823227814084,21
600,64,0.75,7,0.7226666666666667,1000.6427483683688,26
600,64,0.75,7,0.8003555555555556,938.494516090228,31
600,64,0.75,7,0.8001777777777778,921.8082245892128,28
600,64,0.75,7,0.7868444444444445,1002.607214462436,30
600,64,0.75,7,0.8078222222222222,972.2813126546316,29
600,64,0.75,7,0.6862222222222222,1071.0630585851518,22
600,64,0.75,7,0.7436444444444444,998.7432534317572,25
600,64,0.75,7,0.7333333333333333,1047.897582364308,25
600,64,0.75,7,0.7130666666666666,1076.5544366138004,27
600,64,0.75,7,0.7233777777777778,1032.5422433049805,24
600,64,0.75,7,0.7772444444444444,943.3229432149742,24
600,64,0.75,7,0.7568,1021.6255044256656,29
600,64,0.75,7,0.7932444444444444,906.1747109368334,27
600,64,0.75,7,0.7141333333333333,1005.0153313703992,24
600,64,0.75,7,0.7235555555555555,1015.8437584951456,23
600,64,0.75,7,0.6664888888888889,1069.9331162702406,21
600,64,0.75,7,0.7539555555555556,1017.5067093990476,29
600,64,0.75,7,0.7792,929.358477120907,28
600,64,0.75,7,0.7091555555555555,994.6427483683688,22
600,64,0.75,7,0.6730666666666667,1009.0924958366746,26
600,64,0.75,7,0.7239111111111111,1151.2112908632926,35
600,64,0.75,7,0.7528888888888889,929.8082245892128,22
600,64,0.75,7,0.7059555555555556,1008.1930009000632,19
600,64,0.75,7,0.7370666666666666,1014.9209229614208,29
600,64,0.75,7,0.7441777777777778,962.2935059634513,27
600,64,0.75,7,0.7829333333333334,1007.6427483683688,26
600,64,0.75,7,0.7907555555555555,910.4295449327724,31
600,64,0.75,7,0.7489777777777777,881.5655839020935,28
600,64,0.75,7,0.7761777777777777,930.891485709898,30
600,64,0.75,7,0.7438222222222223,978.0214280248092,29
600,64,0.75,7,0.7674666666666666,968.5716805565032,25
600,64,0.75,7,0.7809777777777778,911.4650788387052,30
600,64,0.75,7,0.7061333333333333,990.7432534317572,24
600,64,0.75,7,0.7278222222222223,1097.862048458375,26
600,64,0.75,7,0.7980444444444444,943.500612744638,32
600,64,0.75,7,0.7763555555555556,965.5361466505708,25
600,64,0.75,7,0.7352888888888889,1040.4001076812494,26
