Resolution,Subsamples,Blobiness,M0,M1,M2
600,64,5,0.4817777777777778,822.7483040656406,3
600,64,5,0.6616888888888889,824.4051583151329,13
600,64,5,0.6140444444444444,858.1036431249679,10
600,64,5,0.6062222222222222,808.5117600329311,12
600,64,5,0.6252444444444445,850.1036431249679,17
600,64,5,0.4494222222222222,762.9198769408943,1
600,64,5,0.5185777777777778,808.3696244092001,6
600,64,5,0.5253333333333333,849.8254685319158,7
600,64,5,0.4721777777777777,770.0681092190353,1
600,64,5,0.5137777777777778,810.7188668141177,9
600,64,5,0.6195555555555555,795.1980515339465,13
600,64,5,0.5521777777777778,851.796031280393,8
600,64,5,0.6211555555555556,816.2630226914019,6
600,64,5,0.4988444444444444,750.4995667241113,7
600,64,5,0.5095111111111111,813.955410846827,6
600,64,5,0.4398222222222222,739.7422074112307,1
600,64,5,0.5436444444444445,828.1330803764907,11
600,64,5,0.6311111111111111,781.8843430349616,12
600,64,5,0.5377777777777778,841.8254685319158,11
600,64,5,0.4167111111111111,682.5411972844539,2
600,64,5,0.4680888888888889,868.2752160002218,5
600,64,5,0.5777777777777777,787.7127701597077,13
600,64,5,0.4785777777777777,751.6711395993651,4
600,64,5,0.5237333333333334,833.1391770309007,9
600,64,5,0.5450666666666667,805.3696244092002,12
600,64,5,0.5834666666666667,816.6417023478423,10
600,64,5,0.6540444444444444,793.547293938864,16
600,64,5,0.5660444444444445,706.4701294725885,11
600,64,5,0.5856,857.6011178080262,12
600,64,5,0.5169777777777778,842.245778748699,11
600,64,5,0.5925333333333334,797.4823227814084,8
600,64,5,0.6014222222222222,827.6183617507294,16
600,64,5,0.4997333333333333,773.5828278447966,5
600,64,5,0.5134222222222222,840.3046532517446,4
600,64,5,0.6529777777777778,831.9320702497141,16
600,64,5,0.5884444444444444,816.239682094289,12
600,64,5,0.5139555555555556,889.0264786586924,10
600,64,5,0.5772444444444444,818.653895656662,5
600,64,5,0.5032888888888889,725.5056633785213,8
600,64,5,0.5228444444444444,804.2041481883563,8
600,64,5,0.4810666666666666,880.080302527855,4
600,64,5,0.5164444444444445,862.2752160002217,8
600,64,5,0.5009777777777777,865.5533905932737,3
600,64,5,0.6067555555555556,849.8965363437813,10
600,64,5,0.5959111111111111,876.1391770309006,14
600,64,5,0.5029333333333333,809.2691193458118,6
600,64,5,0.4544,806.1036431249678,6
600,64,5,0.4897777777777777,805.4762261269984,7
600,64,5,0.5720888888888889,849.4528855298854,9
600,100,5,0.5097222222222222,561.280266634105,7
600,100,5,0.52,555.0315292925759,4
600,100,5,0.6183333333333333,578.6173157302028,7
600,100,5,0.5713888888888888,579.3269478283311,7
600,100,5,0.5733333333333334,518.6761902332485,8
600,100,5,0.5369444444444444,557.5817818242701,6
600,100,5,0.6025,486.2203461105328,7
600,100,5,0.4902777777777777,492.74725804511405,4
600,100,5,0.6816666666666666,579.6406563273158,9
600,100,5,0.6777777777777778,585.9310242291876,11
600,100,5,0.5297222222222222,567.5462479183374,6
